code,category,name,unit,unit_price,notes
LND-A.8.3,أعمال اللاندسكيب والموقع العام,لوحة خلفية 7800×3700×200مم، هيكل فولاذي مجلفن ملحوم، إيبوكسي,LS,50500.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Backdrop panel 7800x3700x200mm, welded 50x50x3mm galvanized MS hollow section, e | مصدر: عرض مشروع قلب نجد 2026"
LND-A.8.4,أعمال اللاندسكيب والموقع العام,كسوة جرانيت 20مم للخلفية، نظام تثبيت جاف، كليبسات ستانلس مخفية,LS,42000.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 20mm granite cladding to backdrop, dry-fix system, concealed SS clips triangular | مصدر: عرض مشروع قلب نجد 2026"
LND-A.8.5,أعمال اللاندسكيب والموقع العام,توريد وتركيب منحوتات حسب هوية المشروع (داخلي وخارجي),LS,30000.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Sculpture supply & installation per RFP project identity (internal & external) | مصدر: عرض مشروع قلب نجد 2026
LND-A.9.1,أعمال اللاندسكيب والموقع العام,نافورة مركزية قاعدة وجدران خرسانية 58047×1410×710مم شامل العزل,LS,150000.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Central water feature RC base/walls 58047x1410x710mm incl waterproofing | مصدر: عرض مشروع قلب نجد 2026
LND-A.9.2,أعمال اللاندسكيب والموقع العام,جرانيت أسود مصقول 600×600×20مم - جدار داخلي النافورة TL5,m²,410.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 600x600x20mm black granite polished - Central feature internal wall TL5 | مصدر: عرض مشروع قلب نجد 2026
LND-A.9.3,أعمال اللاندسكيب والموقع العام,جرانيت أسود مصقول 600×600×20مم - جدار خارجي نوع 1 TL5,m²,400.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 600x600x20mm black granite polished - Central feature external wall type 1 TL5 | مصدر: عرض مشروع قلب نجد 2026
LND-A.9.4,أعمال اللاندسكيب والموقع العام,موزاييك ذهبي مطفي 33×80مم - جدار خارجي نوع 2 TL7,m²,360.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 33x80mm gold scale light mosaic matte - Central feature external wall type 2 TL7 | مصدر: عرض مشروع قلب نجد 2026
LND-A.10.1,أعمال اللاندسكيب والموقع العام,صرف خطي شبك ستانلس 3-5مم + حصى أبيض - ST1,m²,310.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Scupper drain 3-5mm SS grating brushed + 15-20mm white gravel - ST1 | مصدر: عرض مشروع قلب نجد 2026
LND-A.11.1,أعمال اللاندسكيب والموقع العام,حافة ستانلس 40مم ارتفاع، 6مم على حوض - MT3,mrun,98.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 40mm H, 6mm SS edging on RC planter - MT3 | مصدر: عرض مشروع قلب نجد 2026"
LND-A.12.1,أعمال اللاندسكيب والموقع العام,صادم سيارات 300مم × 75مم GI دهان أسود مطفي - حاجز أمان MT2,mrun,260.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 300mm H x 75mm dia car stopper GI powder coated black matte - Safety railing MT2 | مصدر: عرض مشروع قلب نجد 2026
LND-A.13.1,أعمال اللاندسكيب والموقع العام,درجات طافية - 8 قطع 3500×650مم، قائمة 170مم، خرسانة + جرانيت 40مم TL10,m²,480.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Floating steps tread/riser - 8 pcs 3500x650mm, 170mm riser, RC + 40mm granite TL | مصدر: عرض مشروع قلب نجد 2026"
LND-A.13.2,أعمال اللاندسكيب والموقع العام,أنف درجات شريط ستانلس 3مم - MT1,mrun,85.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Steps nosing 3mm SS strip inlay - MT1 | مصدر: عرض مشروع قلب نجد 2026
LND-A.13.3,أعمال اللاندسكيب والموقع العام,درابزين 900مم × 10مم GI دهان أسود - MT4,mrun,420.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 900mm H x 10mm GI steel rod railing black powder coated - MT4 | مصدر: عرض مشروع قلب نجد 2026
LND-A.14.1,أعمال اللاندسكيب والموقع العام,درجات سلم 300×600×20مم جرانيت أصفر مطرقي - TL11,m²,360.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Staircase tread/riser 300x600x20mm yellow rustic granite bush hammered - TL11 | مصدر: عرض مشروع قلب نجد 2026
LND-A.14.2,أعمال اللاندسكيب والموقع العام,أنف درجات شريط ستانلس 3مم - MT1,mrun,90.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Steps nosing 3mm SS strip inlay - MT1 | مصدر: عرض مشروع قلب نجد 2026
LND-A.14.3,أعمال اللاندسكيب والموقع العام,درابزين 900مم × 40مم GI دهان أسود - MT4,mrun,375.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 900mm H x 40mm dia GI steel railing black powder coated - MT4 | مصدر: عرض مشروع قلب نجد 2026
LND-A.15.1,أعمال اللاندسكيب والموقع العام,كربستون جرانيت ممر 300×600×150مم مشطوف، على فرشة خرسانية - TL12,mrun,195.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Granite driveway kerb 300x600x150mm chamfered, on concrete bedding - TL12 | مصدر: عرض مشروع قلب نجد 2026"
LND-A.16.1,أعمال اللاندسكيب والموقع العام,حوض فولاذي مجلفن 450مم، دهان برونزي - مدرج MT3,m²,480.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 450mm H galvanized steel planter, bronze powder coated - Tiered MT3 | مصدر: عرض مشروع قلب نجد 2026"
LND-A.16.2,أعمال اللاندسكيب والموقع العام,حوض فولاذي مجلفن 600مم، دهان برونزي - مدرج MT3,m²,480.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 600mm H galvanized steel planter, bronze powder coated - Tiered MT3 | مصدر: عرض مشروع قلب نجد 2026"
LND-A.16.3,أعمال اللاندسكيب والموقع العام,حوض فولاذي مجلفن 900مم، دهان برونزي - مدرج MT3,m²,480.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 900mm H galvanized steel planter, bronze powder coated - Tiered MT3 | مصدر: عرض مشروع قلب نجد 2026"
LND-A.17.1,أعمال اللاندسكيب والموقع العام,حوض فولاذي مجلفن 450مم برونزي - معرض الإنزال MT3,m²,480.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 450mm H galvanized steel planter bronze - Gallery dropoff MT3 | مصدر: عرض مشروع قلب نجد 2026
LND-A.18.1,أعمال اللاندسكيب والموقع العام,لوحة مضيئة 'قلب نجد' 4410×520×50مم إطار ستانلس + أكريليك,LS,28000.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Light box lettering 'قلب نجد' 4410x520x50mm SS frame + acrylic | مصدر: عرض مشروع قلب نجد 2026
LND-A.18.2,أعمال اللاندسكيب والموقع العام,لوحة مضيئة 'NJD'S HEART' 4410×530×50مم إطار ستانلس + أكريليك,LS,29500.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Light box lettering 'NJD'S HEART' 4410x530x50mm SS frame + acrylic | مصدر: عرض مشروع قلب نجد 2026
LND-A.19.1,أعمال اللاندسكيب والموقع العام,لوحة إرشادية اتجاهية 270×750×100مم فولاذ مجلفن برونزي، مضيئة LED,nos,2450.0,"اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Wayfinding directional signage 270x750x100mm galvanized steel bronze, LED illumi | مصدر: عرض مشروع قلب نجد 2026"
LND-A.20.1,أعمال اللاندسكيب والموقع العام,عمود حماية دائري 100مم × 900مم × 3مم ستانلس,nos,785.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Circular bollard 100mm dia x 900mm H x 3mm SS | مصدر: عرض مشروع قلب نجد 2026
LND-A.21.1,أعمال اللاندسكيب والموقع العام,حوض فولاذي مجلفن 450مم برونزي - الركن الجنوبي الغربي MT3,m²,480.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 450mm H galvanized steel planter bronze - SW corner MT3 | مصدر: عرض مشروع قلب نجد 2026
LND-A.21.2,أعمال اللاندسكيب والموقع العام,حوض فولاذي مجلفن 600مم برونزي - الركن الجنوبي الغربي MT3,m²,480.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 600mm H galvanized steel planter bronze - SW corner MT3 | مصدر: عرض مشروع قلب نجد 2026
LND-A.21.3,أعمال اللاندسكيب والموقع العام,حوض فولاذي مجلفن 900مم برونزي - الركن الجنوبي الغربي MT3,m²,480.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | 900mm H galvanized steel planter bronze - SW corner MT3 | مصدر: عرض مشروع قلب نجد 2026
LND-A.22.1,أعمال اللاندسكيب والموقع العام,لوحة مضيئة 'قلب نجد' 4410×520×50مم - الركن الجنوبي الغربي,LS,35000.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Light box lettering 'قلب نجد' 4410x520x50mm SS frame + acrylic - SW corner | مصدر: عرض مشروع قلب نجد 2026
LND-A.22.2,أعمال اللاندسكيب والموقع العام,لوحة مضيئة 'NJD'S HEART' 4410×530×50مم - الركن الجنوبي الغربي,LS,35000.0,اللاندسكيب - أ. أعمال اللاندسكيب الصلب / LANDSCAPE - A. HARD | Light box lettering 'NJD'S HEART' 4410x530x50mm SS frame + acrylic - SW corner | مصدر: عرض مشروع قلب نجد 2026
LND-B.1.1,أعمال اللاندسكيب والموقع العام,خلطة تربة للأحواض (بيرلايت 30%، كوكوبيت 30%، سماد 20%، محسّن 15%، رمل 5%),m³,170.0,"اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Soil mix for planter (Perlite/Pumice 30%, Cocopeat 30%, Compost 20%, Conditioner | مصدر: عرض مشروع قلب نجد 2026"
LND-B.1.2,أعمال اللاندسكيب والموقع العام,تدعيم رباعي للأشجار >300مم، 4 قوائم فولاذ 75×75×2400مم,nos,210.0,"اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Quad staking for trees >300mm dia, 4 MS steel 75x75x2400mm powder coated | مصدر: عرض مشروع قلب نجد 2026"
LND-B.1.3,أعمال اللاندسكيب والموقع العام,درينسل 25مم لأرضية/جدار الحوض + جيوتكستايل,m²,40.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | 25mm draincell to floor/wall of planter box + geotextile | مصدر: عرض مشروع قلب نجد 2026
LND-B.1.4,أعمال اللاندسكيب والموقع العام,نظام تثبيت أشجار تحت الأرض D-MAN (إلميخ أو ما يعادله),nos,220.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Underground tree anchoring D-MAN modules (Elmich or equal) | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.1,أعمال اللاندسكيب والموقع العام,شجرة زيتون TD1200مم OH3م,nos,2500.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Olea europea (Olive Tree) TD1200mm OH3m | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.2,أعمال اللاندسكيب والموقع العام,نخيل مروحي أوروبي TD200مم OH3.5م متعدد السيقان,nos,1550.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Chamaerops humilis (European fan palm) TD200mm OH3.5m multitrunk | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.3,أعمال اللاندسكيب والموقع العام,شجرة أرجون TD200مم OH5م,nos,1800.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Terminalia arjuna (Arjun tree) TD200mm OH5m | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.4,أعمال اللاندسكيب والموقع العام,نخيل تمر TD600مم OH10م,nos,3500.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Phoenix dactylifera (Date palm) TD600mm OH10m | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.5,أعمال اللاندسكيب والموقع العام,شجيرة باروميتر OH450مم,nos,23.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Leucophyllum frutescens (Barometer bush) OH450mm | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.6,أعمال اللاندسكيب والموقع العام,قطف متوسطي OH450مم,nos,23.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Atriplex halimus (Mediterranean saltbush) OH450mm | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.7,أعمال اللاندسكيب والموقع العام,ياسمين بري OH450مم,nos,23.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Clerodendrum inerme (Wild Jasmine) OH450mm | مصدر: عرض مشروع قلب نجد 2026
LND-B.2.8,أعمال اللاندسكيب والموقع العام,حناء OH450مم,nos,23.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Lawsonia inermis (Henna) OH450mm | مصدر: عرض مشروع قلب نجد 2026
LND-B.3.1,أعمال اللاندسكيب والموقع العام,نظام ري آلي كامل (يعادل مواصفات Urban Hydro),LS,102000.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Auto-irrigation system complete (equivalent to Urban Hydro spec) | مصدر: عرض مشروع قلب نجد 2026
LND-B.3.2,أعمال اللاندسكيب والموقع العام,وحدة تحكم ري Rain Bird ESP-RZXE,nos,1100.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Rain Bird ESP-RZXE irrigation control box timer | مصدر: عرض مشروع قلب نجد 2026
LND-B.3.3,أعمال اللاندسكيب والموقع العام,محبس تحكم Rain Bird 100 DV 1 بوصة,nos,550.0,"اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Rain Bird 100 DV 1"" control valve in valve box | مصدر: عرض مشروع قلب نجد 2026"
LND-B.3.4,أعمال اللاندسكيب والموقع العام,أنابيب تنقيط تحت السطح 16-18مم,mrun,20.0,اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | 16-18mm OD subsurface drip tubing | مصدر: عرض مشروع قلب نجد 2026
LND-B.3.5,أعمال اللاندسكيب والموقع العام,نقطة مياه 1 بوصة,nos,350.0,"اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | 1"" water inlet/tap point | مصدر: عرض مشروع قلب نجد 2026"
LND-B.4.1,أعمال اللاندسكيب والموقع العام,تسوية بلاطة خرسانية 10سم + أضلاع خرسانة خفيفة + عزل مائي,m²,110.0,"اللاندسكيب - ب. أعمال اللاندسكيب الناعم / LANDSCAPE - B. SOF | Leveling RC slab 10cm (300 kg/cm²) + lightweight concrete ribs, voids w/ foam, w | مصدر: عرض مشروع قلب نجد 2026"
INT-5.1.1,التشطيبات الداخلية والأعمال المعمارية,درج حلزوني (طول كلي 9م، ارتفاع رأسي 3.5م),No,82000.0,"القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | Helical Stair (total length 9.0m, vertical height 3.5m) | مصدر: عرض مشروع قلب نجد 2026"
INT-5.2.1,التشطيبات الداخلية والأعمال المعمارية,لوح ألمنيوم 4مم دهان رش لاكيه؛ ارتفاع 1500مم (درابزين),Item,29925.0,القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | 4mm BMT aluminum plate spray lacquered coating; 1500mm high (Balustrade) | مصدر: عرض مشروع قلب نجد 2026
INT-5.4.1,التشطيبات الداخلية والأعمال المعمارية,درابزين منحني نحاس 38مم قطر × 1.5مم,Item,18000.0,القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | Curved handrail 38mm dia x 1.5mm BMT Brass tube | مصدر: عرض مشروع قلب نجد 2026
INT-5.5.1,التشطيبات الداخلية والأعمال المعمارية,لوح ألمنيوم 4مم، ملحوم/مصقول، دهان رش لاكيه,m²,525.0,"القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | BMT aluminum plate 4mm thick, welded/polished, spray lacquered | مصدر: عرض مشروع قلب نجد 2026"
INT-5.6.1,التشطيبات الداخلية والأعمال المعمارية,لوح ألمنيوم جداري 5مم، ملحوم/مصقول، دهان رش لاكيه,m²,572.0,"القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | BMT aluminum wall panel 5mm thick, welded/polished, spray lacquered | مصدر: عرض مشروع قلب نجد 2026"
INT-5.7.1,التشطيبات الداخلية والأعمال المعمارية,قاطع 6مم لوح ألمنيوم دهان رش لاكيه (لوبي أرضي ج/ش، دورة مياه ميزانين ش),m²,645.0,"القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | Screen 6mm thick BMT aluminum sheet spray lacquered (GF lobby S/N, mezz toilet N | مصدر: عرض مشروع قلب نجد 2026"
INT-5.8.1,التشطيبات الداخلية والأعمال المعمارية,كاونتر معدني نحاس 2.0مم ملحوم/مصقول (لوبي أرضي),m²,2700.0,القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | Metal counter BMT brass plate 2.0mm thick welded/polished (GF lobby) | مصدر: عرض مشروع قلب نجد 2026
INT-5.9.1,التشطيبات الداخلية والأعمال المعمارية,قاطع نحاس 6مم زخرفة نحاسية مصقولة (لوبي أرضي ج/ش),m²,1850.0,القسم 5 - الأعمال المعدنية / DIVISION 5 - METAL WORKS | Brass sheet screen 6mm thick Brass ornament polished (GF lobby S/N) | مصدر: عرض مشروع قلب نجد 2026
INT-8.1.1,التشطيبات الداخلية والأعمال المعمارية,بوابة إلكترونية أوتوماتيكية KONE مع تحكم دخول وإنذار حريق، 1900×1020مم DR4,Item,22000.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | KONE automated electronic turnstile w/ access control & fire alarm, polycarbonat | مصدر: عرض مشروع قلب نجد 2026"
INT-8.1.2,التشطيبات الداخلية والأعمال المعمارية,باب صلب 18مم بكسوة حجر طبيعي، دهان مصنعي للخلف,No,6500.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Solid core door 18mm natural stone facing, factory lacquer reverse (5241 4.3) | مصدر: عرض مشروع قلب نجد 2026"
INT-8.1.3,التشطيبات الداخلية والأعمال المعمارية,باب حريق فولاذي 60/60 دقيقة، كسوة حجر 18مم,No,5200.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | FRR -/60/60sm steel fire/smokestop door, hold-open, 18mm stone facing (5241 4.1) | مصدر: عرض مشروع قلب نجد 2026"
INT-8.1.4,التشطيبات الداخلية والأعمال المعمارية,باب حريق 60/60 دقيقة، دهان مصنعي,No,4200.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | FRR -/60/60sm fire/smokestop door, factory lacquer (5241 4.2) | مصدر: عرض مشروع قلب نجد 2026"
INT-8.1.5,التشطيبات الداخلية والأعمال المعمارية,باب صلب بكسوة نحاس 0.5مم على 4 جهات، إكسسوار نحاسي,No,7000.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Solid core door 0.5mm BMT brass sheet facing 4/4 sides, brass privacy hardware ( | مصدر: عرض مشروع قلب نجد 2026"
INT-8.2.1,التشطيبات الداخلية والأعمال المعمارية,إصلاح إطارات أبواب المناور بجميع الأدوار,No,280.0,القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Repair shaft door frames in all floors | مصدر: عرض مشروع قلب نجد 2026
INT-8.2.2,التشطيبات الداخلية والأعمال المعمارية,إصلاح وتركيب أبواب بجميع الأدوار,No,350.0,القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Repair and installing door in all floors | مصدر: عرض مشروع قلب نجد 2026
INT-8.2.3,التشطيبات الداخلية والأعمال المعمارية,إصلاح وتركيب إطارات أبواب دفاع مدني مزدوجة,No,785.0,القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Repair installing civil defense two-paddle door frames | مصدر: عرض مشروع قلب نجد 2026
INT-8.2.4,التشطيبات الداخلية والأعمال المعمارية,إصلاح إطارات أبواب دفاع مدني,No,630.0,القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Repair civil defense door frames | مصدر: عرض مشروع قلب نجد 2026
INT-8.2.5,التشطيبات الداخلية والأعمال المعمارية,إصلاح وتركيب إطارات أبواب مناور بجميع الأدوار,No,345.0,القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Repair and installing shaft door frames in all floors | مصدر: عرض مشروع قلب نجد 2026
INT-8.2.6,التشطيبات الداخلية والأعمال المعمارية,إصلاح إطارات أبواب دفاع مدني,No,675.0,القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Repairing civil defense door frames | مصدر: عرض مشروع قلب نجد 2026
INT-8.3.1,التشطيبات الداخلية والأعمال المعمارية,باب حريق دفاع مدني 90 دقيقة، مزدوج 1.40م، كامل,No,3900.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Civil Defense fire-rated steel door 90 min, double-leaf 1.40m wide, complete | مصدر: عرض مشروع قلب نجد 2026"
INT-8.3.2,التشطيبات الداخلية والأعمال المعمارية,باب حريق دفاع مدني 90 دقيقة، مزدوج 1.60م، كامل,No,4100.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Civil Defense fire-rated steel door 90 min, double-leaf 1.60m wide, complete | مصدر: عرض مشروع قلب نجد 2026"
INT-8.3.3,التشطيبات الداخلية والأعمال المعمارية,باب حريق دفاع مدني 90 دقيقة، فردي 0.90م، كامل,No,2300.0,"القسم 8 - الأبواب والنوافذ / DIVISION 8 - DOORS AND WINDOWS | Civil Defense fire-rated steel door 90 min, single-leaf 0.90m wide, complete | مصدر: عرض مشروع قلب نجد 2026"
INT-9.1.1,التشطيبات الداخلية والأعمال المعمارية,دهان إيبوكسي رمادي مطفي شامل اتجاهات المسارات وأرقام المواقف,m²,50.0,القسم 9 - تشطيبات الأرضيات / DIVISION 9 - FLOOR FINISHES | MATTE GRAY epoxy coatings incl pathway direction & parking number (all basements | مصدر: عرض مشروع قلب نجد 2026
INT-9.1.2,التشطيبات الداخلية والأعمال المعمارية,بلاط حجر رملي طبيعي 30مم مع حشوات معدنية,m²,480.0,"القسم 9 - تشطيبات الأرضيات / DIVISION 9 - FLOOR FINISHES | 30mm natural sandstone tiles with metal inlays, clear sealant (6221 4.4) | مصدر: عرض مشروع قلب نجد 2026"
INT-9.1.3,التشطيبات الداخلية والأعمال المعمارية,أرضيات إنترلوك شاملة التسليح وفواصل التحكم,m²,65.0,"القسم 9 - تشطيبات الأرضيات / DIVISION 9 - FLOOR FINISHES | Interlock bricks flooring incl reinforcement, control joints, sealant | مصدر: عرض مشروع قلب نجد 2026"
